Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
24,Male,United States,No,Yes,No,Rarely,26-100,No,Don't know,Not sure,No,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No
31,Male,Mexico,No,Yes,Yes,Sometimes,6-25,No,Don't know,No,No,No,Don't know,Medium,No,No,Some of them,Yes,Maybe,Yes,No,No
33,Male,United States,No,No,Yes,Sometimes,6-25,No,No,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,No,No,Maybe,No,No
30,Male,United States,No,No,Yes,Often,1-5,No,No,Yes,No,No,Yes,Medium,No,No,Yes,Yes,Maybe,Maybe,Yes,No
44,Female,United States,No,No,No,Never,100-500,No,Yes,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,Maybe,No,Some of them,No,No,Don't know,No
25,Male,United States,No,Yes,No,Sometimes,26-100,No,Don't know,No,Don't know,Don't know,Don't know,Easy,No,No,Some of them,Yes,No,No,Don't know,No
33,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,Yes,Medium,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
29,Male,United States,No,No,No,Never,More than 1000,No,Yes,Not sure,Yes,Don't know,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,No
35,Male,United States,No,Yes,No,Rarely,6-25,No,Yes,Not sure,No,No,Yes,Medium,No,No,Some of them,Yes,No,No,Don't know,No
35,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Don't know,Not sure,No,No,Don't know,Medium,No,No,Some of them,Yes,No,Maybe,No,No
28,Male,Brazil,No,Yes,Yes,Rarely,6-25,No,No,No,No,No,No,Medium,Maybe,No,Yes,Yes,No,No,Don't know,Yes
34,Male,United States,No,Yes,No,Never,6-25,Yes,Yes,No,No,No,Don't know,Medium,Maybe,No,No,No,No,No,Don't know,No
32,Male,United States,No,No,Yes,Sometimes,26-100,No,Yes,No,Yes,Yes,Yes,Medium,Maybe,No,Some of them,Yes,No,Maybe,Yes,No
22,Male,United States,No,No,Yes,Sometimes,500-1000,No,Yes,Yes,No,Don't know,Yes,Medium,Yes,No,No,No,No,Yes,No,No
28,Male,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Medium,No,No,Some of them,Some of them,No,Maybe,Yes,No
45,Male,United States,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,No,Yes,Yes,Easy,No,No,Yes,Yes,Yes,Yes,Yes,No
32,Male,United States,No,No,No,Never,100-500,No,Yes,Yes,No,Don't know,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,Don't know,No
28,Male,United States,No,No,No,Sometimes,More than 1000,No,Don't know,No,No,Don't know,Don't know,Medium,Maybe,No,Some of them,No,No,Maybe,Don't know,No
26,Male,United Kingdom,No,No,No,Never,6-25,No,Don't know,No,No,Don't know,Don't know,Easy,No,No,Some of them,Some of them,No,No,Don't know,Yes
18,Male,United States,No,No,Yes,Rarely,1-5,Yes,No,No,No,No,Yes,Easy,No,No,Some of them,No,No,No,Don't know,No
35,Male,United States,No,No,No,Sometimes,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,Medium,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
29,Male,United States,No,No,No,Never,More than 1000,No,Yes,Yes,No,Yes,Don't know,Medium,Yes,Yes,No,No,No,No,Don't know,No
25,Male,United States,No,No,No,Sometimes,26-100,Yes,Don't know,No,No,No,Don't know,Easy,No,No,Some of them,Yes,No,No,Don't know,No
33,Male,United States,No,Yes,Yes,Sometimes,6-25,Yes,Don't know,No,Don't know,Don't know,Yes,Easy,No,No,Yes,Yes,No,Maybe,Yes,No
36,Male,United States,No,No,No,Often,6-25,No,Yes,No,No,No,Yes,Medium,Maybe,No,No,No,No,No,Don't know,No
27,Male,United States,No,Yes,No,Never,500-1000,No,Yes,No,Yes,Yes,Yes,Medium,Yes,No,Some of them,No,No,Yes,Don't know,No
27,Male,United Kingdom,No,No,No,Sometimes,6-25,No,No,No,No,No,Don't know,Medium,No,No,Some of them,Some of them,No,No,Don't know,No
32,Male,United States,No,No,Yes,Rarely,100-500,No,Yes,Yes,No,Yes,Yes,Medium,Yes,No,No,Yes,No,No,Don't know,No
31,Male,United Kingdom,No,Yes,No,Sometimes,6-25,No,No,No,No,No,Don't know,Medium,Maybe,Maybe,No,No,No,No,Yes,No
19,Male,Slovenia,No,No,Yes,Sometimes,6-25,No,Don't know,No,No,No,Don't know,Medium,Yes,Yes,Some of them,No,No,No,Don't know,No
33,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,No,No,Don't know,Easy,Maybe,No,Yes,Some of them,No,Yes,No,No
32,Male,United States,No,No,No,Rarely,1-5,Yes,No,Yes,No,No,Don't know,Difficult,Maybe,No,Yes,Some of them,No,Yes,Don't know,No
27,Male,United States,No,No,No,Never,26-100,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
38,Male,Costa Rica,No,No,No,Sometimes,26-100,Yes,No,Yes,No,No,Yes,Medium,No,No,Yes,Yes,Maybe,Yes,No,No
24,Male,Canada,No,No,Yes,Never,26-100,No,Don't know,No,No,No,Don't know,Medium,No,No,Some of them,Yes,Maybe,Yes,Don't know,No
28,Male,United Kingdom,No,No,No,Never,6-25,No,Don't know,No,No,No,Yes,Easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
39,Male,United States,No,No,Yes,Often,More than 1000,No,Yes,Not sure,No,No,Don't know,Medium,No,No,Yes,Yes,No,No,Don't know,No
29,Female,United States,No,No,No,Sometimes,6-25,No,Don't know,No,No,Don't know,Don't know,Medium,Maybe,No,Some of them,No,No,No,Don't know,No
22,Male,Austria,No,No,No,Sometimes,6-25,Yes,Don't know,No,Don't know,No,Don't know,Medium,No,No,Some of them,Some of them,No,No,Don't know,No
38,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Don't know,No,Don't know,Don't know,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Don't know,No
30,Female,United States,No,Yes,No,Sometimes,More than 1000,Yes,Don't know,Not sure,No,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No
24,Male,United Kingdom,No,No,No,Never,6-25,No,No,No,No,No,Yes,Medium,Maybe,Maybe,No,Some of them,No,No,Don't know,No
30,Male,Ireland,No,No,Yes,Rarely,100-500,No,No,Yes,Yes,Yes,Don't know,Medium,Yes,No,Some of them,No,No,No,No,Yes
29,Female,United States,No,No,No,Sometimes,100-500,Yes,Don't know,Not sure,No,Don't know,Don't know,Medium,Maybe,No,No,Some of them,No,Maybe,Don't know,No
19,Male,Canada,Yes,Yes,No,Sometimes,1-5,Yes,Don't know,Not sure,No,Yes,Yes,Medium,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
32,Male,United States,No,Yes,No,Never,26-100,No,Don't know,Not sure,No,No,Don't know,Easy,No,No,Some of them,Some of them,No,Maybe,No,No
28,Male,Poland,No,No,No,Rarely,6-25,Yes,No,No,No,No,Don't know,Medium,No,No,Yes,Yes,Maybe,Yes,Yes,No
36,Male,United States,No,No,No,Never,6-25,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
27,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Don't know,No,No,Don't know,Don't know,Medium,No,No,No,Some of them,No,Maybe,Don't know,No
27,Male,United States,No,No,Yes,Rarely,26-100,Yes,No,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Don't know,Yes
25,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Don't know,Not sure,No,No,Don't know,Easy,Maybe,No,Some of them,No,No,No,Don't know,Yes
25,Female,United States,No,Yes,Yes,Sometimes,500-1000,No,Yes,No,No,No,Don't know,Medium,Yes,Yes,Some of them,Some of them,No,No,Don't know,No
31,Male,United States,No,No,No,Never,More than 1000,No,Yes,No,No,Yes,Don't know,Medium,No,No,Some of them,Some of them,No,No,Don't know,No
26,Male,United States,No,Yes,No,Rarely,6-25,No,Don't know,No,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Don't know,No
33,Female,United States,Yes,Yes,Yes,Sometimes,1-5,No,No,Yes,Yes,Yes,Yes,Difficult,No,No,Some of them,Yes,No,Yes,Yes,No
27,Female,United Kingdom,Yes,Yes,No,Sometimes,1-5,Yes,No,Yes,No,No,Yes,Medium,No,No,Yes,Yes,No,Maybe,Yes,No
34,Male,United States,No,No,No,Never,26-100,No,No,No,No,No,Don't know,Easy,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
42,Male,United States,No,No,No,Sometimes,6-25,No,No,Yes,No,No,Don't know,Difficult,Maybe,No,Yes,Yes,No,Maybe,No,No
23,Male,Ireland,Yes,Yes,No,Sometimes,1-5,No,No,No,No,No,Don't know,Difficult,Yes,No,No,No,No,Maybe,No,No
24,Male,United Kingdom,No,No,No,Rarely,100-500,No,Don't know,Not sure,Yes,Don't know,Don't know,Easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No
26,Male,United Kingdom,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,Don't know,Yes,Medium,No,No,Yes,Yes,No,No,Don't know,No
31,Male,United Kingdom,Yes,No,Yes,Often,6-25,No,Don't know,No,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
22,Male,India,No,No,Yes,Never,More than 1000,No,Don't know,Not sure,No,No,Don't know,Difficult,Yes,Maybe,No,No,Maybe,Maybe,No,No
23,Female,United States,No,No,No,Sometimes,6-25,No,Don't know,No,No,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No
31,Male,United States,No,No,No,Never,26-100,No,Don't know,Not sure,No,Don't know,Don't know,Medium,Maybe,No,No,Some of them,No,Maybe,Don't know,No
32,Female,United States,No,No,Yes,Often,6-25,Yes,Yes,Not sure,Don't know,Don't know,Yes,Easy,No,No,Yes,Yes,No,No,Yes,Yes
45,Female,United States,No,No,Yes,Sometimes,1-5,No,Yes,No,No,No,Yes,Medium,No,No,Yes,Yes,No,No,Yes,No
33,Male,United States,No,No,No,Sometimes,6-25,Yes,Don't know,No,No,No,Don't know,Easy,No,No,Yes,Yes,No,Maybe,Don't know,No
29,Male,Mexico,No,No,No,Never,6-25,Yes,No,No,No,No,No,Medium,Maybe,Maybe,No,Yes,Maybe,Yes,No,No
28,Female,United Kingdom,No,No,No,Never,26-100,No,Don't know,No,No,Don't know,Yes,Medium,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
45,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,Yes,Yes,Some of them,Some of them,No,No,Don't know,No
43,Male,United States,No,Yes,Yes,Often,More than 1000,Yes,Yes,Not sure,No,Don't know,Don't know,Difficult,Yes,Maybe,No,No,No,No,No,No
37,Male,United States,No,No,No,Sometimes,500-1000,Yes,Yes,No,No,No,Don't know,Medium,Yes,No,Some of them,No,Maybe,Yes,No,No
24,Male,United Kingdom,No,No,No,Sometimes,6-25,No,Don't know,No,No,Don't know,Don't know,Medium,Maybe,No,Some of them,Yes,Maybe,Yes,Yes,No
26,Male,France,No,No,No,Sometimes,6-25,Yes,No,Yes,No,No,Don't know,Medium,No,No,Some of them,No,No,Maybe,Yes,No
23,Male,United Kingdom,No,Yes,No,Sometimes,1-5,Yes,Don't know,No,No,No,Don't know,Medium,No,No,Some of them,Yes,Maybe,Yes,Don't know,No
35,Female,United States,No,Yes,Yes,Never,More than 1000,No,Yes,Not sure,Don't know,No,Yes,Medium,Maybe,No,No,No,No,No,Don't know,No
38,Female,South Africa,Yes,Yes,Yes,Often,1-5,Yes,No,Yes,No,No,Yes,Medium,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,Yes
28,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,No,No,No,Don't know,Medium,Maybe,Maybe,Some of them,No,No,Maybe,No,No
28,Male,Russia,No,No,No,Sometimes,26-100,No,No,No,No,No,Don't know,Medium,Yes,Maybe,No,No,No,Maybe,Don't know,No
35,Male,United States,No,No,Yes,Rarely,6-25,No,No,No,No,No,Yes,Medium,No,No,Some of them,Yes,No,No,Don't know,No
32,Female,Germany,No,No,No,Sometimes,100-500,No,No,No,No,No,Don't know,Difficult,Yes,Yes,Some of them,No,No,No,No,Yes
31,Male,Italy,Yes,Yes,No,Never,6-25,No,No,No,No,No,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,Maybe,Don't know,No
35,Female,United States,No,No,No,Never,500-1000,Yes,Don't know,Not sure,No,No,Don't know,Medium,Maybe,Maybe,Some of them,No,No,No,Don't know,No
26,Male,United States,No,No,No,Rarely,More than 1000,No,Yes,No,No,No,Yes,Medium,No,No,Some of them,Yes,No,Maybe,No,No
27,Male,United States,No,Yes,No,Sometimes,6-25,Yes,Yes,Yes,No,No,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No
28,Male,United Kingdom,No,Yes,Yes,Sometimes,More than 1000,No,Don't know,No,No,No,Don't know,Medium,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No
27,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,No,No,No,Don't know,Easy,No,No,Some of them,Some of them,No,No,Yes,No
41,Male,United States,No,No,Yes,Often,6-25,Yes,No,Not sure,No,No,Don't know,Difficult,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No
37,Male,Ireland,No,No,No,Sometimes,1-5,No,No,Yes,No,No,Don't know,Difficult,Yes,No,No,No,No,Yes,Don't know,No
34,Male,Austria,No,Yes,No,Sometimes,100-500,Yes,Don't know,No,Don't know,Don't know,Don't know,Easy,No,No,Yes,Yes,No,No,Yes,No
